"INWARD_REFERENCE_DOCUMENT_NUMBER","INWARD_REFERENCE_DOCUMENT_TYPE","INWARD_REFERENCE_DOCUMENT_DATE","IRD_LINE_NUMBER","INWARD_REASON_REFERENCE_DOCUMENT_NUMBER","INWARD_REASON_REFERENCE_DOCUMENT_TYPE","INWARD_REASON_REFERENCE_DOCUMENT_DATE","RECEIVING_SITE","SUPPLYING_SITE","RECEIVING_ORGANIZATION","SUPPLIER_ORGANIZATION","SKU_CODE","SKU_DESCRIPTION","QUANTITY","EAN","ASP","MAP","BRAND","HSN_CODE","SCAN_INDICATOR","IMEI_FLAG","CATEGORY_CODE","CATEGORY_L1","CATEGORY_L2","CATEGORY_L3","CATEGORY_L4","ITEM_TYPE","TYPE_OF_ITEM","SERIAL_NUMBER1","SALES_INVOICE_DATE","PURCHASE_INVOICE_DATE","PURCHASE_PRICE","SUPPLIER","PURCHASE_LOCATION","TEST_REPORT_NUMBER","TEST_DATE","BRAND_APPROVAL","DOA_CERTIFICATE_NUMBER","DOA_CERTIFICATE_DATE","DISPOSITION","RETURN_REASON","RETURN_SUB_REASON","RETURN_REQUEST_TYPE","SALES_CHANNEL","CUSTOMER_DELIVERY_DATE","INSTALLATION_DATE","SERIAL_NUMBER2","TEST_USER"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665897","Asus Vivobook16X(MB711WS/R7/16/512/BKLKB","1","4.71E+12","30000","50000","Asus","","","","FF0101002","","","","","","","0982120344","24-03-2025","27-02-2025","18000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","1000","DOA During Demo Technical","Not Working","Sales","Offline","45416","","0941286660","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665912","Len i7/16/1tb+512GB/4GBGraphic/W10      ","1","493665912","40000","60000","Lenovo              ","","","","FF0101002","","","","","","","0946056386","24-03-2025","27-02-2025","28000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2994","DOA During Demo Technical","Not Working","Sales","Offline","45386","","0980081861","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665935","HP 15s- ey2000au(R3/8GB/256SSD/W11/MS)B ","1","1.96E+11","50000","70000","HP                  ","","","","FF0101002","","","","","","","0937864787","24-03-2025","27-02-2025","38000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2995","DOA During Demo Technical","Not Working","Sales","Offline","45386","","0923611001","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665937","HP Z2 G9 I9-32GB-1TB-A2000X2-W11P       ","1","4.71E+12","60000","80000","HP                  ","","","","FF0101002","","","","","","","0956661132","24-03-2025","27-02-2025","48000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2993","DOA During Demo Technical","Not Working","Sales","Offline","45416","","0942450208","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665938","Dell insp3501(i3-1005G1/4GB/1TB/W10/15.6","1","4.71E+12","70000","90000","Dell                ","","","","FF0101002","","","","","","","09133173","24-03-2025","27-02-2025","58000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","3000","DOA During Demo Technical","Not Working","Sales","Offline","45416","","0931930295","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665939","Dell insp3511(i3/15.6/8GB/1TB/W11/MSO/Bk","1","4.71E+12","80000","100000","Dell                ","","","","FF0101002","","","","","","","0923722501","24-03-2025","27-02-2025","68000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","1000","DOA During Demo Technical","Not Working","Sales","Offline","45386","","0931260865","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665940","Dell 3511(i3/15.6FHD/8GB/1TB/W10/MSO/SL)","1","4.71E+12","90000","110000","Dell                ","","","","FF0101002","","","","","","","0944978784","24-03-2025","27-02-2025","78000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2999","DOA During Demo Technical","Not Working","Sales","Offline","45386","","0986440362","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665941","Dell 3511(i3/8GB/1TB+256GB/15.6 FHD/W11)","1","4.71E+12","100000","120000","Dell                ","","","","FF0101002","","","","","","","0983476956","24-03-2025","27-02-2025","88000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2995","DOA During Demo Technical","Not Working","Sales","Offline","45416","","091104595","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665942","Dell 3511(i5/16GB/512GB/X3050/W11)      ","1","4.71E+12","110000","130000","Dell                ","","","","FF0101002","","","","","","","0989533727","24-03-2025","27-02-2025","98000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2993","DOA During Demo Technical","Not Working","Sales","Offline","45416","","0913906121","PPRR00229007"
"10068741","ZHLR","29-05-2025","20","10068741","ZTRP","29-05-2025","R696","TZ8E","Reliance Digital","Reliance Digital","493665943","Dell 3511(i5-1135G7/8GB/1TB+256GB/15.6  ","1","4.71E+12","120000","140000","Dell                ","","","","FF0101002","","","","","","","0944302444","24-03-2025","27-02-2025","108000","30102334","R694","7116798075","28-02-2025","Management","123456","01-11-2024","2000","DOA During Demo Technical","Not Working","Sales","Offline","45386","","0917018568","PPRR00229007"
